0.0 English    , 中文
Abort          , 放弃             
Aborting       , 正在退出         
Alert          , 警报             
ARGUMENTS      , 参数             
AUTHOR         , 作者             
Aviability     , 可用性，可得性 
block          , 阻塞             
BrowseClusters , 流览集群         
BUGS	       , BUGS  	   
cache          , 缓存             
callback       , 回调             
Clear          , 清除             
COMMENT        , 注释             
CONFORMING TO  , 遵循             
DEBUG          , 调试             
DECLARATION    , 声明             
default        , 缺省             
DEFINITION     , 定义             
DESCRIPTION    , 描述             
Destination    , 目的地	
DIAGNOSTICS    , 诊断             
disable        , 关闭             
disk	       , 磁盘  	
enable         , 打开             
entity         , 记录             
entry	       , 记录  	
ENVIRONMENT    , 环境             
ERROR HANDLING , 错误处理         
ERRORS         , 常见错误         
EXAMPLE	       , 例子  
EXIT STATUS    , 退出状态         
Expand         , 扩展             
FILES          , 相关文件         
forward        , 转发             
Gateway	       , 网关  
Grid           , 网格             
HISTORY	       , 历史  
hit	       , 命中  	
Host           , 主机             
interface      , 接口             
INVOCATION     , 激活/调用        
key            , 键               
keyword        , 关键字           
LITERAL        , 文本             
mask           , 掩码             
metric	       , 步跳  	
miss	       , 脱靶  	
modifier       , 修饰词	
mount          , 装配，装载        
NAME           , 名字             
named pipe     , 命名管道         
number	       , 号码，数字	
NOTES          , 注意             
OPTIONS        , 选项             
OUTPUT	       , 输出  	
packet         , 包，报文          
PARAMETER      , 参数             
pipe           , 管道             
Port           , 移植             
Portable       , 可移植的         
privileges     , 权限             
PROMPT         , 提示符           
quota	       , 限额，配额	
RESERVED WORD  , 保留字           
RETURN VALUE   , 返回值           
Route	       , 路由  	
Sectors        , 扇区             
SECURITY       , 安全             
SEE ALSO       , 另见             
SEGMENT        , 段               
specification  , 规范，声明	
stderr         , 标准错误         
stdin          , 标准输入         
stdout         , 标准输出         
switch         , 开关             
SYNOPSIS       , 总览             
Task           , 任务             
thread         , 线程             
TIP            , 小技巧           
token          , 记号             
umask          , umask            
umount	       , 卸载  	
unrestricted   , 无限制	
USAGE          , 用法             
value          , 值               
verbose	       , 冗长  
work           , 运转             
